ID,Fuel_Type_Code,Station_Name,Street_Address,City,State,ZIP,Status_Code,Groups_With_Access_Code,Geocode_Status,Latitude,Longitude,Country,Groups_With_Access_Code_French,Access_Code
122698,ELEC,SULLIVAN PARK CMOG,121 Center Way,Corning,NY,14830,E,Public,GPS,42.153053,-77.05391,US,Public,public
122699,ELEC,69 COLLIER ST BINGHAMTON,69 Collier St,Binghamton,NY,13901,E,Public,GPS,42.09775,-75.911921,US,Public,public
122766,ELEC,MUNICIPAL BLDG PUBLIC - B,1 Van Wyck St,Croton-on-Hudson,NY,10520,E,Public,GPS,41.208506,-73.8875,US,Public,public
122785,ELEC,SUNY NEW PALTZ WALLKILL 2,61 Southside Ave,New Paltz,NY,12561,E,Public,GPS,41.741501,-74.088157,US,Public,public
122786,ELEC,SUNY NEW PALTZ WALLKILL 3,10 Southside Loop,New Paltz,NY,12561,E,Public,GPS,41.741484,-74.088125,US,Public,public
122787,ELEC,SUNY NEW PALTZ STATION 1,33 Southside Ave,New Paltz,NY,12561,E,Public,GPS,41.741585,-74.088317,US,Public,public
122790,ELEC,SUNY NEW PALTZ INTERNATIONAL,S. Manheim Blvd.,New Paltz,NY,12561,E,Public,GPS,41.741984,-74.080814,US,Public,public
122791,ELEC,SUNY NEW PALTZ ROUTE 32 (3),80 NY-32,New Paltz,NY,12561,E,Public,GPS,41.738571,-74.079661,US,Public,public
122792,ELEC,SUNY NEW PALTZ ROUTE 32 LOT,Campus Transportation Hub,New Paltz,NY,12561,E,Public,GPS,41.738961,-74.080128,US,Public,public
122897,ELEC,Candela Systems Corp,168 Old Sawmill River Rd,Hawthorne,NY,10532,E,Public,GPS,41.097414,-73.8075923999999,US,Public,public
122901,ELEC,Candela Systems Corp,168 Old Sawmill River Rd,Hawthorne,NY,10532,E,Private,GPS,41.097414,-73.8075923999999,US,Privé,private
122961,ELEC,CSJ BRENTWOOD BRENTWOOD RD,1725 Brentwood Rd,Brentwood,NY,11717,E,Public,GPS,40.772454,-73.239297,US,Public,public
123018,ELEC,ULSTER COUNTY HALL OF RECORDS,300 Foxhall Ave,Kingston,NY,12401,E,Public,GPS,41.93615,-73.997814,US,Public,public
123040,ELEC,520806-Rockefeller Center,55 W 48th St,New York City,NY,10036,E,Public,200-8,40.758305,-73.980311,US,Public,public
