Fecha,Pasajeros_por_dia,Viajes_por_dia,Tarifario_por_dia,Total_recaudado_por_dia,Pago_con_tarjeta,Pago_con_efectivo,Tipo_de_Taxi
2022-07-05,129799,94906,1399738.94,2040466.43,2818,69022,yellow
2022-07-06,142510,103805,1461948.31,2146962.57,2635,77271,yellow
2022-07-07,147626,108181,1538779.09,2257737.65,2876,81218,yellow
2022-07-08,144695,104675,1515643.94,2219655.61,3508,77671,yellow
2022-07-09,137411,96848,1392948.32,2009522.18,4447,70963,yellow
2022-07-10,121634,85315,1351071.28,1933609.94,3651,62930,yellow
2022-07-11,131727,97683,1456054.19,2129800.65,2575,72509,yellow
2022-07-12,151136,113204,1619312.96,2386419.56,3334,86237,yellow
2022-07-13,157280,118331,1717627.1,2529033.54,3572,90815,yellow
2022-07-14,159147,118605,1741137.99,2554003.88,3592,90424,yellow
2022-07-15,153117,111240,1649251.69,2414717.77,3296,83397,yellow
2022-07-16,155263,107205,1560199.17,2251470.34,3961,80065,yellow
2022-07-17,130860,90877,1437873.05,2060078.07,2833,68174,yellow
2022-07-18,130735,97683,1461378.57,2134601.07,3441,72741,yellow
2022-07-19,153254,115112,1676556.69,2461516.1,3777,87315,yellow
2022-07-20,158246,118961,1728173.3,2538500.56,4201,90703,yellow
2022-07-21,155589,117184,1737860.33,2544855.59,4501,89083,yellow
2022-07-22,151802,110232,1604286.93,2334662.67,3238,79743,yellow
2022-07-23,152021,104466,1474095.48,2129223.06,3911,77293,yellow
2022-07-24,131482,91216,1394733.08,2003630.6,3185,67660,yellow
2022-07-25,128585,95691,1408943.4,2062854.94,3001,71229,yellow
2022-07-26,147415,110850,1619979.96,2371492.83,3626,83583,yellow
2022-07-27,153485,115698,1660936.45,2442758.91,3712,88161,yellow
2022-07-28,157425,116813,1696974.79,2490765.68,3752,89070,yellow
2022-07-29,152768,110678,1645996.62,2404641.5,3883,82959,yellow
2022-07-30,149804,102431,1480085.98,2132696.52,3557,76353,yellow
2022-07-31,125981,87678,1378789.56,1970624.91,3091,65154,yellow
2022-07-31,41,29,546.0,746.02,0,18,yellow
2022-08-01,19,15,167.0,248.74,0,5,yellow
2022-08-01,125207,92294,1393216.56,2029964.46,2772,68378,yellow
2022-08-02,145573,108256,1518532.7,2238358.3,3051,81999,yellow
2022-08-03,147817,110853,1562729.95,2299594.24,3328,84087,yellow
2022-08-04,151316,113408,1646801.4,2409838.5100000002,3867,86024,yellow
2022-08-05,150639,108362,1593183.33,2328866.08,3485,81159,yellow
2022-08-06,155024,105647,1512709.95,2182077.53,3478,78540,yellow
2022-08-07,126722,87277,1356007.69,1943027.8800000001,2948,64660,yellow
2022-08-08,133912,97791,1435541.96,2102639.36,2720,72284,yellow
2022-08-09,151152,112476,1580033.23,2325685.67,3491,84832,yellow
2022-08-10,118515,85626,1243318.22,1824688.08,3303,64470,yellow
2022-08-11,153681,114694,1695510.06,2475971.69,3911,86461,yellow
2022-08-12,149716,108633,1625048.56,2365188.54,3799,80609,yellow
2022-08-13,148596,100702,1482646.31,2128628.49,3147,74892,yellow
2022-08-14,124287,85750,1392583.9,1982697.84,2841,63711,yellow
2022-08-15,127284,92816,1402615.95,2042785.18,2467,68260,yellow
2022-08-16,140294,104352,1500419.82,2199515.75,2681,78411,yellow
2022-08-17,144774,107363,1556712.68,2279143.08,2949,80808,yellow
2022-08-18,147725,109376,1617495.84,2365171.06,3017,82356,yellow
2022-08-19,147055,105384,1586714.78,2307133.44,3199,77736,yellow
2022-08-20,147185,101258,1510308.94,2159072.23,3681,74664,yellow
2022-08-21,124051,86306,1385835.26,1969686.47,2688,63462,yellow
2022-08-22,123851,91612,1363941.74,1986389.1300000001,2312,67159,yellow
2022-08-23,142059,105238,1548687.75,2265412.87,2463,79204,yellow
2022-08-24,145907,107904,1558210.81,2287246.62,2446,81274,yellow
2022-08-25,148431,109576,1607548.19,2352933.44,2809,82180,yellow
2022-08-26,147157,105994,1552869.63,2274078.87,2949,79045,yellow
2022-08-27,150947,103349,1511260.32,2172414.89,3124,76654,yellow
2022-08-28,126619,87886,1436126.47,2040882.95,2774,64979,yellow
2022-08-29,124478,91401,1402928.3,2037827.6300000001,2093,67288,yellow
2022-08-30,140828,105144,1524146.24,2227570.74,2800,78274,yellow
2022-08-31,142975,105896,1614990.86,2346578.74,2581,79726,yellow
2022-08-31,109,55,988.0,1443.45,0,48,yellow
2022-09-01,22,16,265.5,387.32,0,12,yellow
2022-09-01,145035,106962,1639157.52,2385832.54,2817,80138,yellow
2022-09-02,145697,103320,1580910.28,2304576.0,2827,75880,yellow
2022-09-03,146339,96934,1435647.52,2056155.8900000001,2171,69980,yellow
2022-09-04,132825,88481,1394045.88,1982512.56,2546,64195,yellow
2022-09-05,115967,80419,1384811.07,1974702.92,2453,60152,yellow
2022-09-06,133630,102106,1599271.32,2322839.57,4212,77116,yellow
2022-09-07,155705,118921,1782927.39,2602883.08,3670,91468,yellow
2022-09-08,164081,124662,1935677.97,2807083.59,4178,95346,yellow
2022-09-09,167188,125174,1934758.95,2814153.61,4432,95429,yellow
2022-09-10,165520,117628,1806501.24,2583757.84,4796,89279,yellow
2022-09-11,139107,101167,1620166.34,2326772.0,4448,77257,yellow
2022-09-12,143724,110826,1743190.65,2542585.33,4047,84067,yellow
2022-09-13,155246,122003,1863579.46,2720698.33,4261,94335,yellow
2022-09-14,158912,124052,1912759.89,2793831.54,4159,96382,yellow
2022-09-15,163653,127956,1997999.58,2913156.94,4763,99072,yellow
2022-09-16,167737,125862,1956902.22,2847786.5100000002,4756,95837,yellow
2022-09-17,77664,59501,883397.11,1271677.65,4878,42887,yellow
2022-09-18,107,4229,92439.81,127162.69,4169,47,yellow
