Fecha,Pasajeros_por_dia,Viajes_por_dia,Tarifario_por_dia,Total_recaudado_por_dia,Pago_con_tarjeta,Pago_con_efectivo,Tipo_de_Taxi
2022-01-27,2850,2568,37324.73,46429.15,1380,882,green
2022-01-28,2,2,20.0,22.1,0,2,green
2022-01-28,2689,2444,35121.06,44076.19,1325,803,green
2022-01-29,1,1,17.5,18.3,0,1,green
2022-01-29,274,384,5963.41,7296.16,151,89,green
2022-01-30,1476,1461,19741.1,24917.53,783,400,green
2022-01-31,2501,2285,33180.1,41674.99,1226,751,green
2022-01-31,4,4,47.0,52.56,2,2,green
2022-02-01,2614,2399,34800.17,43268.19,1253,863,green
2022-02-02,2818,2536,36999.3,46196.62,1338,884,green
2022-02-03,2967,2683,38666.59,48279.17,1419,932,green
2022-02-04,2922,2802,38475.83,48745.06,1490,911,green
2022-02-05,2830,2722,38355.95,48153.71,1424,849,green
2022-02-06,1890,1747,24613.43,30784.0,978,550,green
2022-02-07,2,2,28.0,29.6,0,2,green
2022-02-07,2578,2397,33018.58,41550.77,1264,857,green
2022-02-08,1,1,19.5,23.55,0,1,green
2022-02-08,2761,2426,33805.35,42721.29,1339,824,green
2022-02-09,2764,2506,34594.06,43778.38,1439,846,green
2022-02-09,3,3,29.0,31.9,0,3,green
2022-02-10,2988,2637,36868.34,46677.09,1480,909,green
2022-02-11,3185,2787,40164.36,50819.68,1518,963,green
2022-02-12,2785,2512,36217.97,45714.73,1354,818,green
2022-02-13,1873,1764,25407.91,31998.66,991,501,green
2022-02-14,3316,2770,37995.45,48342.26,1502,945,green
2022-02-14,6,6,102.0,112.05,1,5,green
2022-02-15,1,1,14.5,18.96,1,0,green
2022-02-15,3047,2550,34603.78,43946.54,1416,886,green
2022-02-16,3025,2625,36834.39,46584.97,1447,915,green
2022-02-17,3349,2871,39832.22,50586.9,1595,991,green
2022-02-18,3329,2923,41986.18,53519.23,1620,987,green
2022-02-19,2624,2358,33690.14,42491.0,1271,785,green
2022-02-20,2039,1888,27995.5,34955.81,1071,607,green
2022-02-21,2356,2021,28247.99,36062.38,1150,696,green
2022-02-22,2872,2453,33540.68,42963.22,1401,842,green
2022-02-23,2,2,19.0,20.6,1,1,green
2022-02-23,3310,2748,37950.03,48284.97,1566,952,green
2022-02-24,3173,2732,37137.31,47768.14,1554,921,green
2022-02-25,1,1,12.5,15.3,1,0,green
2022-02-25,3144,2597,36302.16,46457.84,1518,802,green
2022-02-26,1,1,9.5,12.36,1,0,green
2022-02-26,2769,2424,35065.92,43836.38,1299,805,green
2022-02-27,2293,1991,28712.6,36463.93,1171,565,green
2022-02-28,6,6,87.0,99.77,4,2,green
2022-02-28,2941,2507,34387.98,43341.38,1371,886,green
2022-03-01,3011,2587,35543.67,44917.88,1441,912,green
2022-03-01,2,2,5.0,8.44,2,0,green
2022-03-02,3125,2594,36582.25,46209.45,1424,911,green
2022-03-03,3309,2796,40217.19,50484.79,1539,970,green
2022-03-04,3355,2750,39210.05,49352.74,1506,960,green
2022-03-05,2638,2285,32869.55,41128.77,1214,804,green
2022-03-06,2225,1877,28169.57,35531.02,1110,540,green
2022-03-07,2875,2457,35229.11,44402.42,1334,896,green
2022-03-08,3086,2679,38227.06,48270.41,1507,906,green
2022-03-09,2,2,16.5,18.6,0,2,green
2022-03-09,3117,2710,38205.6,48843.41,1576,827,green
2022-03-10,3155,2761,41146.07,52233.08,1545,949,green
2022-03-11,3397,2886,43356.14,55219.92,1572,967,green
2022-03-12,2407,2255,31663.29,40181.81,1219,718,green
2022-03-13,2240,2038,29579.42,37631.32,1120,605,green
2022-03-14,2747,2349,34433.68,43402.92,1239,859,green
2022-03-15,2681,2298,33366.5,42422.61,1306,771,green
2022-03-16,3028,2564,37671.59,47064.6,1422,902,green
2022-03-17,3175,2747,40186.28,50915.24,1545,914,green
2022-03-18,3200,2733,40579.86,52122.78,1410,942,green
2022-03-19,2790,2366,35074.78,44166.1,1268,799,green
2022-03-20,2348,2043,32236.35,40475.21,1112,652,green
2022-03-21,2891,2346,34163.47,43197.97,1296,821,green
2022-03-22,2850,2485,33643.74,43089.0,1435,834,green
2022-03-23,3339,2808,38895.33,49652.98,1611,930,green
2022-03-24,3272,2851,40729.7,51841.87,1630,930,green
2022-03-25,3293,2876,41261.81,52717.2,1568,997,green
2022-03-26,2750,2509,37470.96,47249.77,1404,786,green
2022-03-27,2466,2145,30747.13,39187.46,1221,644,green
2022-03-28,3028,2604,36179.43,46288.15,1533,795,green
2022-03-29,3257,2764,39372.75,49768.36,1586,924,green
2022-03-30,3204,2678,36906.92,47218.96,1520,903,green
2022-03-31,3138,2672,39509.31,50054.99,1564,839,green
2022-03-31,2,2,10.0,14.06,2,0,green
2022-04-01,1,1,11.0,11.3,0,1,green
2022-04-01,3183,2856,41408.5,52862.25,1533,955,green
2022-04-02,2667,2402,36062.65,45158.56,1251,803,green
2022-04-03,2329,2014,28477.5,36729.96,1162,592,green
2022-04-04,2937,2454,33431.87,42439.79,1292,932,green
2022-04-05,3108,2670,37251.82,47441.3,1507,914,green
2022-04-06,2913,2590,37201.74,47776.26,1484,787,green
2022-04-07,3161,2869,41415.19,52851.42,1633,842,green
2022-04-08,1,1,6.5,7.3,0,1,green
2022-04-08,3230,2826,41926.27,53412.53,1510,944,green
2022-04-09,2756,2506,38423.38,48400.09,1339,773,green
2022-04-09,2,2,29.0,33.6,1,1,green
2022-04-10,2428,2126,32484.3,41269.52,1210,608,green
2022-04-11,2835,2343,33265.14,42489.0,1351,776,green
2022-04-12,3052,2783,43125.76,54971.81,1550,836,green
2022-04-13,3160,2725,42145.87,52951.73,1462,933,green
2022-04-14,3135,2743,40457.36,51403.46,1493,924,green
2022-04-15,2819,2523,38192.61,48858.84,1388,790,green
2022-04-16,2,2,34.5,45.49,1,1,green
2022-04-16,2509,2331,33883.88,42734.95,1282,727,green
2022-04-17,2471,2139,31445.13,40034.67,1228,648,green
2022-04-18,2942,2460,34108.18,43913.76,1422,814,green
2022-04-18,1,1,6.5,7.3,0,1,green
2022-04-19,3120,2646,37560.45,48231.52,1512,870,green
2022-04-19,1,1,13.0,13.8,0,1,green
2022-04-20,3092,2627,38842.27,50030.78,1549,833,green
2022-04-20,1,1,5.5,6.8,0,1,green
2022-04-21,3021,2581,38117.0,48686.18,1495,844,green
2022-04-22,2990,2588,37646.24,48071.32,1449,878,green
2022-04-22,3,3,22.0,28.1,1,2,green
2022-04-23,2976,2727,41541.33,52753.63,1524,805,green
2022-04-23,1,1,17.5,27.6,0,1,green
2022-04-24,2354,2189,33068.02,42100.56,1193,646,green
2022-04-25,2904,2478,34742.22,44487.0,1371,871,green
2022-04-25,1,1,19.0,22.55,0,1,green
2022-04-26,2783,2410,35586.84,45285.74,1377,790,green
2022-04-27,3058,2705,39617.15,50289.36,1537,867,green
2022-04-28,2771,2608,40239.33,51182.91,1454,834,green
2022-04-29,2892,2735,41252.61,52216.16,1445,917,green
2022-04-30,4,4,79.5,84.2,3,1,green
2022-04-30,2547,2447,38762.36,48721.41,1295,773,green
2022-05-01,2290,2156,35341.26,43954.41,1146,648,green
2022-05-01,11,11,131.5,178.84,7,4,green
2022-05-02,1756,1764,26666.83,34055.42,934,524,green
2022-05-03,2923,2576,37890.0,48390.36,1435,858,green
2022-05-03,7,7,108.0,149.17000000000002,4,3,green
2022-05-04,13,13,126.0,181.02,8,5,green
2022-05-04,3066,2665,38281.27,48902.49,1533,840,green
2022-05-05,3131,2774,41295.17,52296.03,1550,922,green
2022-05-06,3026,2885,45367.02,57799.2,1545,826,green
2022-05-07,2589,2507,37490.41,47126.32,1256,752,green
2022-05-08,2333,2141,32477.13,40916.18,1164,648,green
2022-05-09,2858,2409,34941.62,44726.33,1336,810,green
2022-05-10,2,2,15.0,17.1,0,2,green
2022-05-10,2949,2518,38018.1,48110.35,1417,815,green
2022-05-11,2964,2594,38341.25,48824.28,1498,844,green
2022-05-12,3236,2854,43008.85,54807.07,1655,875,green
2022-05-13,3141,2852,45493.9,57374.34,1588,851,green
2022-05-14,2608,2573,41872.32,52143.3,1326,761,green
2022-05-15,2347,2225,37117.58,46820.88,1198,617,green
2022-05-16,3012,2584,37553.94,48207.59,1432,845,green
2022-05-17,2921,2639,42423.96,53859.61,1500,786,green
2022-05-17,1,1,8.5,9.8,0,1,green
2022-05-18,3042,2715,44240.49,55950.69,1456,871,green
2022-05-19,3117,2780,44621.92,56407.39,1629,770,green
2022-05-20,3132,2760,45261.8,56928.64,1532,834,green
2022-05-21,2704,2673,44906.53,56244.21,1350,747,green
2022-05-22,2210,2081,34372.47,43454.73,1115,565,green
2022-05-23,2683,2435,37646.99,47627.14,1403,697,green
2022-05-24,2781,2451,36429.94,46518.94,1410,755,green
2022-05-25,2971,2595,39913.98,50803.69,1496,814,green
2022-05-26,3097,2770,40632.72,51766.58,1508,937,green
2022-05-27,2862,2545,39430.08,49624.21,1377,813,green
2022-05-28,2284,2089,33331.95,41478.13,1085,716,green
2022-05-29,2128,1956,32313.38,40279.38,979,671,green
2022-05-30,2065,1833,28973.75,37170.84,1111,494,green
2022-05-31,2767,2475,38819.32,49170.08,1373,804,green
2022-06-01,3079,2648,40829.78,51760.44,1489,840,green
2022-06-02,2921,2620,41181.43,51996.1,1453,817,green
2022-06-03,2815,2487,39627.6,49872.43,1368,788,green
2022-06-04,2273,2037,31205.03,38978.15,1114,659,green
2022-06-05,2166,2019,30743.31,38972.01,1108,611,green
2022-06-06,2725,2376,34571.59,44256.1,1338,773,green
2022-06-07,2784,2483,36861.58,47086.24,1452,749,green
2022-06-08,2978,2677,39903.48,50441.39,1508,825,green
2022-06-09,3052,2778,43009.05,54532.13,1589,850,green
2022-06-10,3145,2836,45873.75,57494.2,1573,888,green
2022-06-11,2639,2441,40230.77,49937.52,1343,722,green
2022-06-12,2284,2049,34252.48,42618.1,1159,588,green
2022-06-13,2927,2499,37328.65,47513.1,1459,772,green
2022-06-14,2851,2539,39386.58,49902.74,1435,773,green
2022-06-15,3179,2771,43465.52,55106.76,1563,864,green
2022-06-16,3027,2776,45012.84,56783.39,1547,834,green
2022-06-17,3050,2755,46036.7,57600.45,1488,840,green
2022-06-18,2541,2282,36897.74,45800.1,1201,741,green
2022-06-19,2260,2044,34280.28,42641.54,1087,614,green
2022-06-20,2280,2089,32286.5,41675.66,1173,613,green
2022-06-21,2883,2517,37988.35,48079.46,1415,776,green
2022-06-22,3042,2613,39863.61,50960.57,1533,753,green
2022-06-23,3069,2750,42024.34,53670.57,1570,856,green
2022-06-24,3100,2683,42914.04,54391.57,1518,846,green
2022-06-25,2487,2299,37086.96,46086.72,1232,719,green
2022-06-26,2325,2073,34281.11,42633.32,1206,580,green
2022-06-27,2716,2394,36268.45,46200.19,1329,734,green
2022-06-28,2661,2337,37434.49,47535.59,1345,729,green
2022-06-29,2804,2441,37733.0,47961.18,1384,790,green
2022-06-30,2646,2396,36583.43,46476.46,1356,751,green
2022-07-01,2683,2364,36921.18,46076.99,1260,836,green
2022-07-01,4,4,76.0,100.95,3,1,green
2022-07-02,2092,1871,29311.77,35960.91,988,700,green
2022-07-03,1781,1541,25800.68,31994.57,845,497,green
2022-07-04,1709,1533,24517.29,31186.46,907,409,green
2022-07-05,2310,2095,30449.19,38729.53,1195,682,green
2022-07-06,2568,2219,32328.17,40856.1,1246,755,green
2022-07-07,2445,2220,33998.88,42725.81,1237,771,green
2022-07-08,2310,2044,33078.93,41431.7,1164,649,green
2022-07-09,1622,1548,25439.95,31367.4,798,519,green
2022-07-10,1723,1576,25521.92,31948.27,875,498,green
2022-07-11,2471,2163,32013.39,40543.25,1283,717,green
2022-07-11,2,2,36.0,37.6,0,2,green
2022-07-12,2432,2121,32686.69,41592.44,1271,646,green
2022-07-13,2623,2265,34182.33,43690.68,1332,720,green
2022-07-14,2618,2314,35022.74,44561.53,1403,688,green
2022-07-15,2869,2419,36527.14,46121.48,1356,829,green
2022-07-16,2264,2043,35335.73,43666.2,1104,657,green
2022-07-17,1836,1668,27500.78,34353.58,978,477,green
2022-07-18,2,2,17.0,18.6,0,2,green
2022-07-18,2338,2097,32012.39,40617.78,1220,650,green
2022-07-19,2,2,25.0,26.6,0,2,green
2022-07-19,2635,2263,33883.22,43096.23,1327,711,green
2022-07-20,2724,2330,35667.45,45004.65,1337,725,green
2022-07-21,2563,2316,36472.03,46434.68,1387,649,green
2022-07-22,2709,2323,36423.24,46026.87,1339,769,green
2022-07-23,2169,2008,31910.18,39631.97,1082,632,green
2022-07-23,1,1,5.0,5.8,0,1,green
2022-07-24,2043,1775,29161.12,36407.15,1061,511,green
2022-07-25,1,1,7.5,8.3,0,1,green
2022-07-25,2459,2154,32234.61,41290.51,1252,660,green
2022-07-26,2,2,19.5,24.56,1,1,green
2022-07-26,2465,2193,34244.35,43286.22,1291,688,green
2022-07-27,2706,2347,36201.4,45895.52,1340,752,green
2022-07-27,1,1,5.0,5.8,0,1,green
2022-07-28,2724,2348,36078.19,45726.93,1380,714,green
2022-07-29,2594,2245,35705.02,45068.23,1274,725,green
2022-07-30,2326,2055,32920.27,41083.97,1151,661,green
2022-07-31,1927,1730,27481.27,34336.75,989,535,green
2022-07-31,1,1,20.5,24.55,0,1,green
2022-08-01,2,2,13.0,17.55,1,1,green
2022-08-01,2555,2210,32674.36,41296.83,1264,711,green
2022-08-02,1,1,24.0,27.55,0,1,green
2022-08-02,2416,2129,31890.6,40706.79,1239,705,green
2022-08-03,1,1,21.0,21.8,0,1,green
2022-08-03,2498,2126,32680.32,41323.95,1246,667,green
2022-08-04,2698,2284,36278.32,45708.67,1361,735,green
2022-08-05,2812,2351,37306.71,46984.66,1322,777,green
2022-08-06,2014,1847,31323.66,38763.48,1009,606,green
2022-08-07,1933,1715,27907.16,35111.93,1056,471,green
2022-08-08,2508,2192,33342.09,42151.29,1301,697,green
2022-08-09,2556,2184,33412.1,42240.91,1338,632,green
2022-08-10,2602,2251,34129.13,43568.23,1336,701,green
2022-08-10,2,2,15.5,18.1,0,2,green
2022-08-11,2779,2446,37049.15,46857.58,1488,725,green
2022-08-12,2647,2307,36296.76,45683.13,1292,770,green
2022-08-13,2108,1951,32004.84,39343.43,1022,709,green
2022-08-14,1998,1785,29561.68,36872.35,1021,564,green
2022-08-15,2306,2054,32666.47,40910.47,1170,711,green
2022-08-16,2532,2101,30802.34,39137.26,1215,720,green
2022-08-16,1,1,28.5,46.92,1,0,green
2022-08-17,2412,2180,31965.19,40800.45,1295,691,green
2022-08-18,2660,2232,36284.37,45372.44,1329,728,green
2022-08-19,2641,2231,35120.7,43970.68,1282,723,green
2022-08-20,2200,2048,33390.38,41173.35,1115,659,green
2022-08-21,2032,1770,31021.51,38114.32,1091,518,green
2022-08-22,2442,2126,31138.24,39877.07,1306,651,green
2022-08-23,2564,2186,33209.01,42184.52,1282,712,green
2022-08-24,2635,2254,35502.96,44449.3,1312,746,green
2022-08-25,2590,2250,34862.78,43780.29,1292,747,green
2022-08-26,2626,2216,34509.85,43482.71,1288,732,green
2022-08-27,2259,1975,34130.94,41680.49,1093,656,green
2022-08-28,1986,1700,31147.85,38308.96,990,527,green
2022-08-29,2556,2181,35528.48,44483.52,1313,690,green
2022-08-30,2832,2356,40975.76,51140.4,1439,737,green
2022-08-30,2,2,14.0,16.1,0,2,green
2022-08-31,4,2,150.0,187.55,2,0,green
2022-08-31,2719,2277,38929.34,48961.46,1382,707,green
2022-09-01,2939,2386,41841.83,52412.18,1393,774,green
2022-09-01,1,1,281.5,283.3,0,1,green
2022-09-02,2866,2338,41460.92,51737.32,1284,828,green
2022-09-03,2336,1976,37573.0,45774.15,1093,679,green
2022-09-04,2034,1688,32938.25,40699.7,1007,526,green
2022-09-05,2413,1961,35808.52,45125.39,1254,527,green
2022-09-06,2707,2370,41483.77,52346.0,1416,676,green
2022-09-07,3078,2563,43895.97,54977.53,1510,800,green
2022-09-08,3424,2877,49913.19,62419.2,1667,922,green
2022-09-08,2,2,24.0,29.66,1,1,green
2022-09-09,3006,2515,42405.3,53060.14,1434,820,green
2022-09-09,2,2,23.0,24.6,0,2,green
2022-09-10,2436,2196,38885.53,48058.47,1227,670,green
2022-09-11,2179,1946,35740.32,44120.08,1145,529,green
2022-09-12,2610,2340,36726.61,46232.87,1334,722,green
2022-09-13,2545,2348,37436.33,47220.12,1366,722,green
2022-09-14,2941,2466,38240.99,48220.12,1503,760,green
2022-09-15,2865,2428,39872.41,50338.98,1487,695,green
2022-09-16,2988,2447,38649.88,48264.33,1431,737,green
2022-09-17,2450,2169,36798.76,45550.96,1194,697,green
2022-09-18,1927,1762,29561.57,36986.86,1026,507,green
2022-09-19,2628,2273,35443.28,44915.64,1329,694,green
2022-09-20,2785,2411,38398.78,48639.49,1482,645,green
2022-09-21,3116,2643,40852.98,51641.43,1578,767,green
2022-09-22,3064,2608,40897.56,51717.41,1604,707,green
2022-09-23,3054,2548,43936.19,54523.29,1468,760,green
2022-09-24,2472,2200,38836.43,47948.22,1265,644,green
2022-09-25,1983,1851,29746.32,37558.35,1127,472,green
2022-09-26,2527,2129,32565.82,41074.41,1240,661,green
2022-09-27,2577,2189,32666.1,42099.62,1348,655,green
2022-09-28,2987,2491,36938.71,47089.02,1525,727,green
2022-09-29,2966,2452,37664.71,47720.82,1442,739,green
2022-09-30,16,4,31.5,44.120000000000005,3,1,green
2022-09-30,2934,2445,38642.09,48447.6,1395,771,green
2022-10-01,2360,2110,34977.92,43848.58,1214,582,green
2022-10-01,3,3,92.0,103.8,2,1,green
2022-10-02,1933,1691,28079.22,34985.42,1033,460,green
2022-10-03,2725,2360,34573.7,43820.2,1352,737,green
2022-10-04,3,3,51.0,60.6,2,1,green
2022-10-04,2575,2222,32744.56,41594.35,1292,670,green
2022-10-05,2,2,27.5,36.760000000000005,1,1,green
2022-10-05,2568,2193,30772.74,39323.11,1297,690,green
2022-10-06,2969,2419,36424.91,46181.54,1420,741,green
2022-10-07,2954,2429,41396.91,51744.53,1376,755,green
2022-10-08,2527,2164,36904.68,45616.07,1212,691,green
2022-10-09,2034,1782,30208.11,37554.87,1069,536,green
2022-10-10,2334,1967,30171.53,38413.13,1233,573,green
2022-10-11,2725,2175,31597.83,39972.82,1316,700,green
2022-10-12,2877,2363,35140.15,44885.66,1404,734,green
2022-10-13,2979,2510,37124.73,46939.53,1513,733,green
2022-10-14,2970,2468,38768.14,48646.27,1386,789,green
2022-10-15,2621,2246,36459.34,45971.27,1345,642,green
2022-10-16,2138,1868,29877.21,37574.85,1154,509,green
2022-10-17,2834,2258,33981.11,42922.82,1346,702,green
2022-10-18,2810,2335,34976.15,44581.95,1403,728,green
2022-10-19,3040,2500,38108.52,48494.93,1548,703,green
2022-10-20,2940,2525,38678.86,49042.4,1542,764,green
2022-10-21,2753,2338,36418.24,45806.29,1378,721,green
2022-10-22,2368,2114,35432.28,44382.75,1262,586,green
2022-10-23,1,1,12.0,13.3,0,1,green
2022-10-23,2140,1847,28955.32,36887.32,1119,486,green
2022-10-24,2738,2386,35238.05,45072.88,1379,715,green
2022-10-25,2737,2267,34344.79,43539.15,1347,684,green
2022-10-26,2934,2465,37097.23,47251.99,1467,748,green
2022-10-27,3016,2588,39714.84,50289.73,1509,841,green
2022-10-27,1,1,20.0,28.86,1,0,green
2022-10-28,3006,2500,37990.27,48342.4,1483,746,green
2022-10-28,2,2,23.5,26.1,0,2,green
2022-10-29,2421,2213,35993.64,45026.89,1248,638,green
2022-10-30,2019,1852,29755.81,37351.77,1073,533,green
2022-10-31,4,4,53.0,59.2,2,2,green
2022-10-31,2535,2154,32198.66,40499.83,1244,678,green
2022-11-01,2719,2300,33878.8,42942.48,1327,716,green
2022-11-01,1,1,11.5,15.05,0,1,green
2022-11-02,1,1,8.5,11.16,1,0,green
2022-11-02,2907,2409,35737.04,45410.12,1411,771,green
2022-11-03,1,1,12.0,16.05,0,1,green
2022-11-03,2963,2473,37234.57,47185.87,1483,751,green
2022-11-04,3066,2466,36901.26,47101.87,1465,776,green
2022-11-05,2449,2078,32222.64,40435.91,1215,637,green
2022-11-06,1639,1465,23209.44,29011.17,852,433,green
2022-11-07,1,1,7.5,10.56,1,0,green
2022-11-07,2628,2215,31657.53,40043.06,1312,727,green
2022-11-08,2566,2195,30611.63,39157.11,1338,646,green
2022-11-09,2843,2432,36363.57,46319.51,1474,728,green
2022-11-09,3,3,19.0,22.4,0,3,green
2022-11-10,2818,2433,38133.67,48035.46,1501,683,green
2022-11-10,2,2,31.0,35.06,1,1,green
2022-11-11,2,2,14.0,16.6,0,2,green
2022-11-11,2546,2247,34280.13,43579.22,1344,581,green
2022-11-12,2,2,27.5,33.86,1,1,green
2022-11-12,2287,1947,29770.19,37234.46,1118,620,green
2022-11-13,1960,1747,26220.94,33180.12,1062,487,green
2022-11-14,2229,1800,25415.9,32785.66,1088,554,green
2022-11-15,2361,2090,29433.33,37963.86,1241,584,green
2022-11-16,2368,2071,29296.48,37833.8,1213,611,green
2022-11-16,1,1,29.0,45.44,1,0,green
2022-11-17,2389,2114,31820.03,40556.78,1295,603,green
2022-11-18,2,2,28.0,33.35,0,2,green
2022-11-18,2708,2239,34206.11,42973.0,1220,739,green
2022-11-19,2103,1835,30142.81,37602.55,1060,507,green
2022-11-20,1864,1594,26462.47,33025.42,942,446,green
2022-11-21,2602,2191,33835.13,42834.4,1280,653,green
2022-11-22,2794,2279,36490.41,45952.25,1389,656,green
2022-11-23,2708,2281,34506.13,43211.08,1302,720,green
2022-11-23,1,1,23.5,27.05,1,0,green
2022-11-24,1782,1537,24201.94,30072.28,775,510,green
2022-11-25,2019,1716,23493.12,29857.5,992,573,green
2022-11-26,2140,1743,24658.05,31093.89,1061,550,green
2022-11-27,1883,1566,21632.79,27708.96,1040,412,green
2022-11-28,2719,2255,33500.77,42090.46,1310,757,green
2022-11-29,2646,2228,33995.64,42870.56,1382,661,green
2022-11-30,2723,2343,34520.12,44015.28,1492,606,green
2022-11-30,11,3,31.0,44.24,2,1,green
2022-12-01,9,9,104.5,147.13,7,2,green
2022-12-01,3006,2604,39954.57,50329.29,1521,802,green
2022-12-02,3029,2450,36547.61,46427.83,1494,751,green
2022-12-03,2318,2017,32088.73,40242.53,1190,561,green
2022-12-04,2081,1785,28209.61,35226.14,1074,536,green
2022-12-05,2654,2235,34614.16,43702.58,1331,680,green
2022-12-06,3,3,42.5,57.370000000000005,2,1,green
2022-12-06,2720,2250,34125.0,43136.81,1383,617,green
2022-12-07,3,3,40.0,53.260000000000005,2,1,green
2022-12-07,2973,2461,36903.18,46648.23,1482,723,green
2022-12-08,3348,2728,41857.23,52937.23,1663,814,green
2022-12-09,3104,2602,40652.02,51000.23,1531,772,green
2022-12-09,2,2,41.5,52.400000000000006,0,2,green
2022-12-10,2726,2380,38070.37,47702.27,1386,687,green
2022-12-11,2244,1861,29261.29,37073.69,1181,474,green
2022-12-12,2918,2426,36391.79,46187.88,1481,684,green
2022-12-13,2779,2371,36763.97,46600.89,1454,642,green
2022-12-14,3005,2538,39144.09,49923.24,1507,721,green
2022-12-15,3206,2662,41196.78,52335.33,1627,728,green
2022-12-16,3191,2697,42514.97,54114.57,1593,696,green
2022-12-17,2609,2310,37337.18,46599.32,1298,677,green
2022-12-18,2022,1788,28290.48,35465.22,992,474,green
2022-12-19,3360,2793,49030.05,63302.02,1447,1020,green
2022-12-20,3394,2885,52841.56,68497.43,1584,1001,green
2022-12-21,3667,2955,54578.27,70418.63,1582,1118,green
2022-12-22,3412,2873,54218.04,69799.72,1575,1033,green
2022-12-23,3322,2819,50412.8,65121.52,1420,1102,green
2022-12-24,2288,1952,34900.22,42887.85,895,849,green
2022-12-25,1476,1268,23134.65,29214.69,649,484,green
2022-12-26,2059,1685,28541.51,36189.62,961,604,green
2022-12-27,2548,2125,38372.27,49504.87,1145,816,green
2022-12-28,2630,2143,37279.94,47872.48,1122,876,green
2022-12-29,2818,2267,40517.38,51686.82,1180,935,green
2022-12-30,3081,2380,43623.12,55862.47,1242,996,green
2022-12-31,2427,2113,37955.69,47242.7,1021,820,green
2023-01-01,1793,1463,27501.48,34885.03,784,498,green
2023-01-02,1926,1564,26414.99,33659.66,891,555,green
2023-01-03,2730,2125,34084.35,44988.45,1167,788,green
2023-01-04,2876,2383,37121.56,48908.01,1331,900,green
2023-01-05,3047,2417,41235.24,53844.19,1362,854,green
2023-01-06,3274,2546,41719.22,54754.92,1448,912,green
2023-01-07,2613,2154,36047.82,45773.16,1286,741,green
2023-01-08,2097,1659,26203.16,33994.77,1041,517,green
2023-01-09,2780,2219,36508.27,48166.29,1319,768,green
2023-01-10,2606,2171,35918.23,47365.53,1324,707,green
2023-01-11,3095,2487,41065.62,54574.59,1464,856,green
2023-01-12,3020,2527,41571.8,55321.73,1510,842,green
2023-01-13,3183,2550,43368.39,57267.04,1497,854,green
2023-01-14,2650,2169,36475.49,46712.9,1243,752,green
2023-01-15,2242,1776,30467.12,39132.29,1091,576,green
2023-01-16,1865,1584,26310.87,34087.99,968,490,green
2023-01-17,2804,2246,37504.93,49582.92,1349,745,green
2023-01-18,2839,2341,38960.95,51929.6,1416,762,green
2023-01-19,3168,2635,43857.56,58688.47,1653,764,green
2023-01-20,2988,2469,40578.69,53905.96,1484,794,green
2023-01-21,2644,2140,36481.13,46766.19,1258,735,green
2023-01-22,2170,1774,28385.91,37111.81,1126,515,green
2023-01-23,2967,2392,38978.13,51416.77,1444,776,green
2023-01-24,2948,2413,39593.22,52592.49,1465,793,green
2023-01-25,3242,2674,43437.35,58382.65,1684,803,green
2023-01-25,5,5,75.9,88.18,2,3,green
2023-01-26,3,3,133.0,157.2,2,1,green
2023-01-26,3276,2629,43912.47,58087.11,1637,836,green
2023-01-27,3036,2426,39795.15,52899.76,1438,804,green
