ID,Fuel Type Code,Station Name,City,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Geocode Status,Latitude,Longitude,NG Vehicle Class,EV Connector Types,Groups With Access Code (French),Access Detail Code,CNG Dispenser Num,CNG Vehicle Class,LNG Vehicle Class
149627,ELEC,HARMONY MILLS 1 WEST 1 1.2,Cohoes,NY,,2.0,,ChargePoint Network,GPS,42.78158,-73.705696,,J1772,Public,,,,
149628,ELEC,HARMONY MILLS 1 RIVERVIEW 1.1,Cohoes,NY,,2.0,,ChargePoint Network,GPS,42.78051,-73.704094,,J1772,Public,,,,
149646,ELEC,BEAVER LAKE BEAVER LAKE 2,Baldwinsville,NY,,2.0,,ChargePoint Network,GPS,43.179698,-76.402596,,J1772,Public,,,,
149668,ELEC,NEW HARTFORD GW-1 1.2,New Hartford,NY,,2.0,,ChargePoint Network,GPS,43.09282,-75.316514,,J1772,Public,,,,
149727,ELEC,TONAWANDA YPR GOLF DOME 1,Tonawanda,NY,,2.0,,ChargePoint Network,GPS,43.002586,-78.84064,,J1772,Public,,,,
149787,ELEC,HOTSARA CHARGER STATION 1,Saranac Lake,NY,,2.0,,ChargePoint Network,GPS,44.326862,-74.13015,,J1772,Public,,,,
149880,ELEC,NY STATE PARKS JAMES BAIRD,Pleasant Valley,NY,,2.0,,ChargePoint Network,GPS,41.68595,-73.791916,,J1772,Public,,,,
150002,ELEC,RRH UNITY POB 2,Rochester,NY,,2.0,,ChargePoint Network,GPS,43.191075,-77.703873,,J1772,Public,,,,
150207,ELEC,QuickChek - Tesla Supercharger,Middletown,NY,,,8.0,Tesla,GPS,41.442393,-74.37639,,TESLA,Public,,,,
150255,ELEC,WARRENCOUNTY DPW 5,Lake George,NY,,2.0,,ChargePoint Network,GPS,43.359247,-73.701335,,J1772,Public,,,,
150256,ELEC,WARRENCOUNTY DPW 4,Lake George,NY,,2.0,,ChargePoint Network,GPS,43.3592,-73.701305,,J1772,Public,,,,
150257,ELEC,WARRENCOUNTY DPW 3,Lake George,NY,,2.0,,ChargePoint Network,GPS,43.359019,-73.701171,,J1772,Public,,,,
150258,ELEC,WARRENCOUNTY DPW 2,Lake George,NY,,2.0,,ChargePoint Network,GPS,43.359015,-73.701099,,J1772,Public,,,,
150259,ELEC,WARRENCOUNTY DPW 1,Lake George,NY,,2.0,,ChargePoint Network,GPS,43.359015,-73.701072,,J1772,Public,,,,
150338,ELEC,RAY LAKS HONDA SHOP 02,Orchard Park,NY,,1.0,,ChargePoint Network,GPS,42.784658,-78.767062,,J1772,Public,,,,
150340,ELEC,960 BUSTI 960 BUSTI 1,Buffalo,NY,,2.0,,ChargePoint Network,GPS,42.908953,-78.900652,,J1772,Public,,,,
150341,ELEC,BRUNSWICK HD BRUNSWICK HD2,Troy,NY,,2.0,,ChargePoint Network,GPS,42.75888,-73.60228,,J1772,Public,,,,
150489,ELEC,The American Hotel-Sag Harbor - Tesla Destination,Sag Harbor,NY,,3.0,,Tesla Destination,200-9,41.001268,-72.29503,,TESLA,Public,,,,
150502,ELEC,iPark NYC 555 West Garage Corp. - Tesla Destination,New York,NY,,3.0,,Tesla Destination,200-9,40.748931,-74.006078,,J1772 TESLA,Public,,,,
150517,ELEC,iPark NYC E 80th Street - Tesla Destination,New York,NY,,3.0,,Tesla Destination,200-9,40.773471,-73.952304,,J1772 TESLA,Public,,,,
150520,ELEC,Icon Parking 245 E 19th St. - Tesla Destination,New York,NY,,3.0,,Tesla Destination,200-8,40.73591,-73.983331,,J1772 TESLA,Public,,,,
150521,ELEC,iPark NYC 455 Central Park West - Tesla Destination,New York,NY,,3.0,,Tesla Destination,200-8,40.797875,-73.961228,,J1772 TESLA,Public,,,,
150531,ELEC,East West Tower Garage - Tesla Destination,Flushing,NY,,4.0,,Tesla Destination,200-8,40.762536,-73.826279,,TESLA,Public,,,,
150532,ELEC,333 Schermerhorn Garage - The Hub - Tesla Destination,Brooklyn,NY,,4.0,,Tesla Destination,200-9,40.68722,-73.981174,,TESLA,Public,,,,
150533,ELEC,528 W 162nd Garage-PARK-it - Tesla Destination,Manhattan,NY,,4.0,,Tesla Destination,200-9,40.836425,-73.941393,,TESLA,Public,,,,
150534,ELEC,4320 Broadway-PARK-it - Tesla Destination,Manhattan,NY,,4.0,,Tesla Destination,200-9,40.852225,-73.934213,,TESLA,Public,,,,
150535,ELEC,506 W 181 St Garage-PARK-it - Tesla Destination,Manhattan,NY,,4.0,,Tesla Destination,200-9,40.848198,-73.931808,,TESLA,Public,,,,
150537,ELEC,Railroad Museum of Long Island - Tesla Destination,Riverhead,NY,,2.0,,Tesla Destination,200-9,40.920448,-72.666154,,TESLA,Public - Appeler à l'avance,CALL,,,
150540,ELEC,One Blue Slip-Greenpoint - Tesla Destination,Brooklyn,NY,,5.0,,Tesla Destination,GPS,40.736224,-73.959356,,J1772 TESLA,Public,,,,
