pickup_date,trip_distance,fare_amount,tip_amount,PULocationID,DOLocationID,ehail_fee,total_amount,payment_type
2021-07-31,709239.77,56980.93,3423.35,293519,362720,0,67477.31,2411.0
2021-08-01,472801.55000000005,42847.0,2359.32,207218,259736,0,50657.9,1596.0
2021-08-02,548301.66,56567.93,3009.7,305055,374971,0,67356.12,2368.0
2021-08-03,730172.78,60118.99,2952.07,314239,382323,0,71502.03,2357.0
2021-08-04,689266.47,60469.14,3273.91,316237,393430,0,72158.99,2503.0
2021-08-05,758043.13,62075.49,3347.06,332739,412349,0,74096.36,2616.0
2021-08-06,552635.88,58760.66,3243.83,313205,382465,0,70244.44,2469.0
2021-08-07,759330.89,54290.28,2980.6,283609,347523,0,64256.04,2295.0
2021-08-08,349856.99,42923.03,2704.78,222934,280472,0,51507.16,1854.0
2021-08-09,697972.8,55642.86,2910.9,298802,366034,0,66436.84,2384.0
2021-08-10,554342.29,61850.41,3171.79,339572,408250,0,73388.52,2666.0
2021-08-11,1116133.1,60266.75,3298.22,315725,399230,0,71744.23,2481.0
2021-08-12,1088141.47,60424.45,3591.47,322838,400030,0,72100.49,2510.0
2021-08-13,799794.99,62572.96,3357.73,335225,408306,0,74485.31,2714.0
2021-08-14,528260.2999999999,53593.47,3332.3,273546,330486,0,63544.93,2281.0
2021-08-15,839722.66,44510.48,2584.58,215671,279335,0,52839.71,1812.0
2021-08-16,1458313.71,57599.45,2747.36,301704,366357,0,68402.21,2143.0
2021-08-17,308517.35,57766.11,2721.59,307484,372498,0,68431.34,2330.0
2021-08-18,264307.80000000005,58309.51,3312.5,309694,376033,0,69761.72,2304.0
2021-08-19,1031021.78,61216.31,3054.6,335219,393665,0,72456.47,2548.0
2021-08-20,733702.36,61010.99,3545.21,325358,401097,0,73228.02,2613.0
2021-08-21,289746.59,54902.3,3987.04,290631,371219,0,65750.69,2403.0
2021-08-22,181251.91,22325.36,1732.56,117928,141815,0,26642.74,916.0
2021-08-23,976126.0,55718.93,3409.61,305303,375864,0,66722.68000000001,2276.0
2021-08-24,589084.37,60908.45,3200.43,325463,388268,0,72280.42,2382.0
2021-08-25,427765.04,59413.1,3276.83,318848,391182,0,70953.51,2581.0
2021-08-26,705182.46,60923.39,3445.0099999999998,322790,393977,0,72569.54,2435.0
2021-08-27,652677.03,58880.65,3428.68,313734,384206,0,70351.06,2545.0
2021-08-28,788541.79,47960.45,3058.84,254660,319899,0,56915.53,2159.0
2021-08-29,307331.04,41785.4,2611.52,211525,267632,0,49733.3,1780.0
2021-08-30,616580.28,58794.18,3570.21,319186,384460,0,70476.66,2438.0
2021-08-31,1040157.9400000001,63533.04,4003.56,334676,402539,0,76226.79,2500.0
2021-09-01,350307.57,60203.37,4057.34,326740,393351,0,72622.71,2334.0
2021-09-02,508212.5,63683.3,4854.16,302439,358200,0,75940.27,2358.0
2021-09-03,729701.07,66720.33,4216.87,351462,418674,0,79606.37,2795.0
2021-09-04,382054.61,56954.42,3755.22,276257,333479,0,67727.31,2219.0
2021-09-05,178364.37,46685.61,3236.45,224286,280346,0,55936.56,1767.0
2021-09-06,754839.71,49282.54,4018.82,246916,308231,0,59664.42,2105.0
2021-09-07,863001.61,67206.0,4119.3,347216,422156,0,80403.27,2753.0
2021-09-08,658008.4299999999,73625.32,4347.81,388705,472918,0,88199.9,3032.0
2021-09-09,673573.04,77631.92,5049.16,382086,468884,0,92511.12,3121.0
2021-09-10,402784.56,78108.3,4894.09,381310,462958,0,92799.2,3113.0
2021-09-11,1284506.03,66068.28,4196.83,331423,406250,0,78115.61,2741.0
2021-09-12,550269.57,53842.65,3756.7,263931,337136,0,64337.17,2188.0
2021-09-13,759451.43,66475.68,3977.5,352097,417687,0,78822.5,2893.0
2021-09-14,637853.37,70242.68,4181.87,367460,445422,0,83840.93,2954.0
2021-09-15,300381.39,71770.91,4339.25,382486,470295,0,85627.14,3220.0
2021-09-16,660487.96,68308.51,3608.1,367981,450581,0,81280.51,2949.0
2021-09-17,881421.48,76159.25,5026.09,411041,499054,0,91221.81,3425.0
2021-09-18,764284.7100000001,68197.73,4552.33,359637,436850,0,80941.49,2940.0
2021-09-19,772118.11,55314.65,3826.36,282147,348591,0,66102.02,2306.0
2021-09-20,460362.07,68135.41,4039.52,379547,451497,0,81302.76,3282.0
2021-09-21,700244.53,67750.74,3960.42,376762,456967,0,81061.07,3075.0
2021-09-22,906384.64,72844.04,4193.19,396235,491251,0,86935.87,3314.0
2021-09-23,1025872.3300000001,76100.72,4946.25,424430,512837,0,91135.27,3491.0
2021-09-24,925704.65,82269.65,5867.61,433204,521163,0,98427.12,3518.0
2021-09-25,1053826.15,72837.42,5189.62,367477,440578,0,86548.28,3093.0
2021-09-26,207130.28,59519.58,4347.94,282456,344150,0,70748.64,2194.0
2021-09-27,474353.31,62636.77,3822.62,358664,451845,0,74688.61,3337.0
2021-09-28,209931.72,72484.35,4249.42,389147,486145,0,86607.0,3351.0
2021-09-29,924375.0,75280.77,4388.58,402229,497445,0,89804.04,3450.0
2021-09-30,664372.4600000001,78519.38,5192.21,418632,511563,0,93893.69,3486.0
2021-10-01,1274520.2,79397.22,4833.16,438012,519936,0,94151.88,3690.0
2021-10-02,689656.96,71092.31,4585.77,366236,462199,0,84145.84,3356.0
2021-10-03,390371.54,55209.73,3966.48,294081,361114,0,66061.75,2552.0
2021-10-04,1120498.53,71135.47,4287.25,385161,481308,0,84821.05,3485.0
2021-10-05,718477.53,76473.39,4363.05,391128,485600,0,90833.56,3232.0
2021-10-06,583683.11,75114.81,4625.57,404341,491963,0,89606.75,3447.0
2021-10-07,716565.2,78049.14,4576.38,410895,505281,0,92582.22,3559.0
2021-10-08,437691.75,80628.48,5098.28,437848,524045,0,95933.22,3863.0
2021-10-09,566504.84,67903.84,4597.18,371128,463796,0,80945.81,3303.0
2021-10-10,380678.25,53761.17,3452.83,287744,357305,0,64079.1,2476.0
2021-10-11,378705.91000000003,63306.04,3447.11,342959,421308,0,75033.19,2741.0
2021-10-12,568987.4,71163.24,3947.38,380539,474316,0,84675.87,3416.0
2021-10-13,673580.14,73800.4,4560.69,411113,513451,0,88415.03,3653.0
2021-10-14,687148.54,81251.37,5096.36,434570,541603,0,96986.05,3791.0
2021-10-15,446590.88,82731.69,4827.92,452569,546153,0,98385.08,3885.0
2021-10-16,456318.15,66285.91,5015.24,370600,463644,0,79759.87,3373.0
2021-10-17,168425.53,55641.09,3825.99,296909,369988,0,66687.25,2546.0
2021-10-18,594027.45,73033.39,4149.76,403561,498750,0,87230.24,3482.0
2021-10-19,372120.73000000004,73714.15,4647.95,413979,504477,0,88327.47,3431.0
2021-10-20,633369.51,75420.12,4234.29,418536,518281,0,89803.76,3655.0
2021-10-21,973358.59,79424.51,5117.44,442586,542091,0,95042.55,3760.0
2021-10-22,666635.52,82976.7,5397.38,449290,550241,0,99308.68000000001,3761.0
2021-10-23,884797.9299999999,69749.85,4517.14,373505,464775,0,82799.83,3269.0
2021-10-24,195579.93,59028.82,4005.99,316876,400370,0,70734.01,2656.0
2021-10-25,488615.38999999996,72186.74,4393.31,406718,507482,0,86207.39,3578.0
2021-10-26,1042292.52,62252.24,3855.23,360923,443634,0,74538.62,3116.0
2021-10-27,920082.17,77741.69,4915.08,426265,526907,0,93223.39,3745.0
2021-10-28,262628.62,83547.4,5302.04,446613,545726,0,99533.06,3985.0
2021-10-29,438508.7,82928.51,5636.02,444776,552131,0,99121.23,3829.0
2021-10-30,359977.63,70960.64,5314.18,373679,462095,0,84695.64,3183.0
2021-10-31,496540.08,62053.63,4432.85,323011,401581,0,74079.6,2728.0
2021-11-01,810367.6799999999,74814.42,4652.46,422687,508869,0,89138.52,3723.0
2021-11-02,619552.47,70522.68,3963.78,383871,477891,0,83739.14,3273.0
2021-11-03,702809.01,77335.88,4733.9,428529,525574,0,92424.83,3675.0
2021-11-04,776264.76,81618.31,5145.93,453181,560088,0,97590.87,3920.0
